Date,Description,Category,Amount
2025-12-01,Sunset Apartments,Rent,1500.00
2025-12-01,City Power,Utilities,120.50
2025-12-02,Comcast,Utilities,85.00
2025-12-02,Whole Foods,Groceries,145.20
2025-12-03,Trader Joe's,Groceries,65.40
2025-12-03,The Fancy Steakhouse,Dining,185.00
2025-12-04,Starbucks,Dining,12.50
2025-12-04,Sushi Palace,Dining,95.00
2025-12-05,Burger King,Dining,15.75
2025-12-05,Safeway,Groceries,45.00
2025-12-06,Pasta House,Dining,75.00
2025-12-06,Uber Eats,Dining,42.30
2025-12-07,Sunday Brunch Place,Dining,65.00
2025-12-08,Office Cafe,Dining,18.00
2025-12-08,Target,Groceries,88.90
2025-12-09,Taco Stand,Dining,22.50
2025-12-09,Pizza Hut,Dining,35.00
2025-12-10,Fine French Dining,Dining,210.00
2025-12-10,Coffee Shop,Dining,8.50
2025-12-11,Late Night Diner,Dining,55.00
2025-12-12,Shell Station,Transport,45.00
2025-12-12,Netflix,Entertainment,19.99
2025-12-13,Spotify,Entertainment,11.99
2025-12-14,Amazon,Shopping,120.50
2025-12-15,Gym Membership,Health,45.00
2025-12-16,Whole Foods,Groceries,112.30
2025-12-17,Starbucks,Dining,9.50
2025-12-18,Uber,Transport,24.50
2025-12-19,CVS Pharmacy,Health,32.40
2025-12-20,Local Bar,Dining,65.00
2025-12-21,Cinema,Entertainment,45.00
2025-12-22,Chevron,Transport,52.00
2025-12-23,Last Minute Gifts,Shopping,250.00
2025-12-24,Holiday Dinner,Groceries,180.00
2025-12-26,Boxing Day Sales,Shopping,150.00
2025-12-28,Starbucks,Dining,14.20
2025-12-30,New Year Supplies,Groceries,95.00
2026-01-01,Sunset Apartments,Rent,1500.00
2026-01-01,City Power,Utilities,135.00
2026-01-02,Comcast,Utilities,85.00
2026-01-03,Trader Joe's,Groceries,85.40
2026-01-04,Uber,Transport,35.00
2026-01-05,Work Lunch,Dining,22.00
2026-01-06,Amazon,Shopping,45.90
2026-01-07,Gas Station,Transport,48.00
2026-01-08,Hulu,Entertainment,14.99
2026-01-10,Weekend Trip Hotel,Travel,250.00
2026-01-10,Trip Dinner,Dining,120.00
2026-01-12,Whole Foods,Groceries,130.00
2026-01-13,Pharmacy,Health,15.50
2026-01-14,Bookstore,Education,35.00
2026-01-15,Gym Membership,Health,45.00
2026-01-16,Coffee Shop,Dining,7.50
2026-01-17,Uber,Transport,18.00
2026-01-18,Concert Tickets,Entertainment,180.00
2026-01-19,Late Night Pizza,Dining,28.00
2026-01-20,Target,Groceries,65.00
2026-01-21,Nike Store,Shopping,110.00
2026-01-22,Shell,Transport,50.00
2026-01-23,Apple Store,Shopping,29.00